Date (GMT+2);Price (EUR/MWh)
01.08.24 00:00;43.89
01.08.24 01:00;44.01
01.08.24 02:00;41.77
01.08.24 03:00;42.12
01.08.24 04:00;41.19
01.08.24 05:00;42.58
01.08.24 06:00;42.25
01.08.24 07:00;44
01.08.24 08:00;44
01.08.24 09:00;42.65
01.08.24 10:00;42.91
01.08.24 11:00;41.46
01.08.24 12:00;41.05
01.08.24 13:00;41.01
01.08.24 14:00;40.01
01.08.24 15:00;39.8
01.08.24 16:00;41.21
01.08.24 17:00;43.16
01.08.24 18:00;42.13
01.08.24 19:00;42.1
01.08.24 20:00;42.44
01.08.24 21:00;42.87
01.08.24 22:00;42.66
01.08.24 23:00;40.91
02.08.24 00:00;38.79
02.08.24 01:00;38.79
02.08.24 02:00;38.8
02.08.24 03:00;41.04
02.08.24 04:00;38.3
02.08.24 05:00;37.97
02.08.24 06:00;38.8
02.08.24 07:00;38.3
02.08.24 08:00;38.31
02.08.24 09:00;37.96
02.08.24 10:00;41.78
02.08.24 11:00;42.3
02.08.24 12:00;39.17
02.08.24 13:00;38.3
02.08.24 14:00;38.29
02.08.24 15:00;47.5
02.08.24 16:00;45.14
02.08.24 17:00;44.9
02.08.24 18:00;40.43
02.08.24 19:00;39.59
02.08.24 20:00;39.5
02.08.24 21:00;39.12
02.08.24 22:00;39.98
02.08.24 23:00;39.03
03.08.24 00:00;43.59
03.08.24 01:00;47.7
03.08.24 02:00;43.6
03.08.24 03:00;39.19
03.08.24 04:00;35.01
03.08.24 05:00;34.91
03.08.24 06:00;36.04
03.08.24 07:00;35.12
03.08.24 08:00;35.17
03.08.24 09:00;42.99
03.08.24 10:00;32
03.08.24 11:00;25.53
03.08.24 12:00;23.36
03.08.24 13:00;11.97
03.08.24 14:00;9.5
03.08.24 15:00;17.57
03.08.24 16:00;29.37
03.08.24 17:00;39.16
03.08.24 18:00;37.09
03.08.24 19:00;47.31
03.08.24 20:00;46.89
03.08.24 21:00;43.52
03.08.24 22:00;45.05
03.08.24 23:00;47.16
04.08.24 00:00;48.31
04.08.24 01:00;43.54
04.08.24 02:00;41.69
04.08.24 03:00;40.4
04.08.24 04:00;39.14
04.08.24 05:00;39.11
04.08.24 06:00;39.5
04.08.24 07:00;39.49
04.08.24 08:00;39.49
04.08.24 09:00;27.87
04.08.24 10:00;11.47
04.08.24 11:00;5.37
04.08.24 12:00;-1.12
04.08.24 13:00;-10.15
04.08.24 14:00;-11.8
04.08.24 15:00;-5.15
04.08.24 16:00;4.99
04.08.24 17:00;37.14
04.08.24 18:00;42.89
04.08.24 19:00;51.49
04.08.24 20:00;49.56
04.08.24 21:00;48.37
04.08.24 22:00;47.14
04.08.24 23:00;46.74
05.08.24 00:00;47.26
05.08.24 01:00;48.47
05.08.24 02:00;47.64
05.08.24 03:00;43.5
05.08.24 04:00;41.13
05.08.24 05:00;40.2
05.08.24 06:00;44.87
05.08.24 07:00;54.15
05.08.24 08:00;55.1
05.08.24 09:00;49.5
05.08.24 10:00;50.08
05.08.24 11:00;43.49
05.08.24 12:00;37.72
05.08.24 13:00;32.57
05.08.24 14:00;32.52
05.08.24 15:00;39.5
05.08.24 16:00;40.39
05.08.24 17:00;47.92
05.08.24 18:00;78.93
05.08.24 19:00;49.5
05.08.24 20:00;49.49
05.08.24 21:00;48.2
05.08.24 22:00;49.24
05.08.24 23:00;48.03
06.08.24 00:00;58.85
06.08.24 01:00;51.39
06.08.24 02:00;43.09
06.08.24 03:00;41.46
06.08.24 04:00;39.69
06.08.24 05:00;42.2
06.08.24 06:00;49.19
06.08.24 07:00;54.7
06.08.24 08:00;68.21
06.08.24 09:00;59.58
06.08.24 10:00;41.05
06.08.24 11:00;31.11
06.08.24 12:00;23.91
06.08.24 13:00;17.33
06.08.24 14:00;18.33
06.08.24 15:00;35.23
06.08.24 16:00;41.79
06.08.24 17:00;45.9
06.08.24 18:00;57.29
06.08.24 19:00;49.3
06.08.24 20:00;49.48
06.08.24 21:00;50.35
06.08.24 22:00;51.01
06.08.24 23:00;49.29
07.08.24 00:00;49.4
07.08.24 01:00;43.71
07.08.24 02:00;40.81
07.08.24 03:00;43.49
07.08.24 04:00;43.26
07.08.24 05:00;43.69
07.08.24 06:00;44.11
07.08.24 07:00;49.8
07.08.24 08:00;52.2
07.08.24 09:00;51.39
07.08.24 10:00;43.55
07.08.24 11:00;43.09
07.08.24 12:00;39.38
07.08.24 13:00;36.66
07.08.24 14:00;37.31
07.08.24 15:00;38.09
07.08.24 16:00;38.09
07.08.24 17:00;37.5
07.08.24 18:00;45.2
07.08.24 19:00;52.12
07.08.24 20:00;52.09
07.08.24 21:00;54.91
07.08.24 22:00;52.99
07.08.24 23:00;49.59
08.08.24 00:00;47.08
08.08.24 01:00;45.94
08.08.24 02:00;45.92
08.08.24 03:00;45
08.08.24 04:00;43.32
08.08.24 05:00;44.7
08.08.24 06:00;46.66
08.08.24 07:00;46.56
08.08.24 08:00;46.54
08.08.24 09:00;45.29
08.08.24 10:00;45.06
08.08.24 11:00;45.08
08.08.24 12:00;43.97
08.08.24 13:00;40.14
08.08.24 14:00;39.22
08.08.24 15:00;40.46
08.08.24 16:00;44.56
08.08.24 17:00;44.84
08.08.24 18:00;45.6
08.08.24 19:00;50.08
08.08.24 20:00;50.07
08.08.24 21:00;50.18
08.08.24 22:00;51.18
08.08.24 23:00;50.67
09.08.24 00:00;41.99
09.08.24 01:00;47.96
09.08.24 02:00;46.99
09.08.24 03:00;42.28
09.08.24 04:00;41.99
09.08.24 05:00;42.6
09.08.24 06:00;45.04
09.08.24 07:00;44.65
09.08.24 08:00;44.5
09.08.24 09:00;39.15
09.08.24 10:00;32.72
09.08.24 11:00;30.07
09.08.24 12:00;30.09
09.08.24 13:00;25.01
09.08.24 14:00;27.06
09.08.24 15:00;31.09
09.08.24 16:00;31.85
09.08.24 17:00;31.22
09.08.24 18:00;41.61
09.08.24 19:00;44.5
09.08.24 20:00;44.5
09.08.24 21:00;43.97
09.08.24 22:00;44.32
09.08.24 23:00;45.79
10.08.24 00:00;49.46
10.08.24 01:00;43.6
10.08.24 02:00;42.09
10.08.24 03:00;43.22
10.08.24 04:00;37.48
10.08.24 05:00;39.1
10.08.24 06:00;43.59
10.08.24 07:00;39.15
10.08.24 08:00;37.95
10.08.24 09:00;17.41
10.08.24 10:00;2.42
10.08.24 11:00;-2.39
10.08.24 12:00;-21.86
10.08.24 13:00;-30.27
10.08.24 14:00;-23.25
10.08.24 15:00;-2.64
10.08.24 16:00;8.1
10.08.24 17:00;24.05
10.08.24 18:00;47.07
10.08.24 19:00;54.06
10.08.24 20:00;54.32
10.08.24 21:00;55.89
10.08.24 22:00;54.02
10.08.24 23:00;54.89
11.08.24 00:00;54.68
11.08.24 01:00;47.89
11.08.24 02:00;46.92
11.08.24 03:00;46.6
11.08.24 04:00;45.7
11.08.24 05:00;46.01
11.08.24 06:00;45.69
11.08.24 07:00;49.1
11.08.24 08:00;42.77
11.08.24 09:00;15.03
11.08.24 10:00;-1.09
11.08.24 11:00;-11.56
11.08.24 12:00;-25.27
11.08.24 13:00;-50.8
11.08.24 14:00;-41.54
11.08.24 15:00;-14.56
11.08.24 16:00;10.47
11.08.24 17:00;24.99
11.08.24 18:00;50.13
11.08.24 19:00;49.95
11.08.24 20:00;55.53
11.08.24 21:00;56.01
11.08.24 22:00;55.53
11.08.24 23:00;52.99
12.08.24 00:00;47.63
12.08.24 01:00;47.2
12.08.24 02:00;47.2
12.08.24 03:00;48.44
12.08.24 04:00;48.8
12.08.24 05:00;49.3
12.08.24 06:00;52.07
12.08.24 07:00;48.96
12.08.24 08:00;49
12.08.24 09:00;42.61
12.08.24 10:00;44.3
12.08.24 11:00;32.54
12.08.24 12:00;15.23
12.08.24 13:00;7.98
12.08.24 14:00;13.76
12.08.24 15:00;29.38
12.08.24 16:00;45.7
12.08.24 17:00;55.44
12.08.24 18:00;62.83
12.08.24 19:00;59.34
12.08.24 20:00;58.88
12.08.24 21:00;58.79
12.08.24 22:00;58.2
12.08.24 23:00;57.72
13.08.24 00:00;57.84
13.08.24 01:00;53.73
13.08.24 02:00;42.41
13.08.24 03:00;44.44
13.08.24 04:00;51.99
13.08.24 05:00;47.8
13.08.24 06:00;54.09
13.08.24 07:00;57.92
13.08.24 08:00;63.75
13.08.24 09:00;65.72
13.08.24 10:00;56.43
13.08.24 11:00;39.16
13.08.24 12:00;36.22
13.08.24 13:00;32.26
13.08.24 14:00;38.21
13.08.24 15:00;51.64
13.08.24 16:00;69.14
13.08.24 17:00;61.09
13.08.24 18:00;64.54
13.08.24 19:00;58.6
13.08.24 20:00;58.6
13.08.24 21:00;58.6
13.08.24 22:00;58.59
13.08.24 23:00;57.6
14.08.24 00:00;75.99
14.08.24 01:00;78.94
14.08.24 02:00;68.76
14.08.24 03:00;62.18
14.08.24 04:00;60
14.08.24 05:00;65.66
14.08.24 06:00;68.83
14.08.24 07:00;78.94
14.08.24 08:00;69.81
14.08.24 09:00;65.54
14.08.24 10:00;76.95
14.08.24 11:00;78.99
14.08.24 12:00;72.87
14.08.24 13:00;70.52
14.08.24 14:00;70.31
14.08.24 15:00;75.75
14.08.24 16:00;70.92
14.08.24 17:00;72.64
14.08.24 18:00;100.63
14.08.24 19:00;64.09
14.08.24 20:00;61.3
14.08.24 21:00;60.81
14.08.24 22:00;63.02
14.08.24 23:00;60.27
15.08.24 00:00;68.77
15.08.24 01:00;58
15.08.24 02:00;54.01
15.08.24 03:00;57.56
15.08.24 04:00;56.98
15.08.24 05:00;59
15.08.24 06:00;60.73
15.08.24 07:00;63.6
15.08.24 08:00;64.01
15.08.24 09:00;60.26
15.08.24 10:00;57.38
15.08.24 11:00;47.92
15.08.24 12:00;20.22
15.08.24 13:00;9.03
15.08.24 14:00;8.66
15.08.24 15:00;19.79
15.08.24 16:00;42.08
15.08.24 17:00;60.05
15.08.24 18:00;64.9
15.08.24 19:00;77.73
15.08.24 20:00;70.16
15.08.24 21:00;69.85
15.08.24 22:00;67.81
15.08.24 23:00;68.36
16.08.24 00:00;62.08
16.08.24 01:00;65.39
16.08.24 02:00;65.91
16.08.24 03:00;65.01
16.08.24 04:00;64.91
16.08.24 05:00;66.5
16.08.24 06:00;57.99
16.08.24 07:00;69.52
16.08.24 08:00;74.79
16.08.24 09:00;69.12
16.08.24 10:00;55.95
16.08.24 11:00;48.93
16.08.24 12:00;40.68
16.08.24 13:00;36.96
16.08.24 14:00;37.84
16.08.24 15:00;47.84
16.08.24 16:00;55.04
16.08.24 17:00;56.8
16.08.24 18:00;65.19
16.08.24 19:00;70.2
16.08.24 20:00;69.52
16.08.24 21:00;68.31
16.08.24 22:00;70.69
16.08.24 23:00;70.4
17.08.24 00:00;81.07
17.08.24 01:00;80.29
17.08.24 02:00;77.16
17.08.24 03:00;70.32
17.08.24 04:00;62.85
17.08.24 05:00;63.07
17.08.24 06:00;75.41
17.08.24 07:00;77.96
17.08.24 08:00;80.21
17.08.24 09:00;72.42
17.08.24 10:00;63.78
17.08.24 11:00;56.18
17.08.24 12:00;46.32
17.08.24 13:00;42.07
17.08.24 14:00;38.52
17.08.24 15:00;44.13
17.08.24 16:00;57.14
17.08.24 17:00;62.99
17.08.24 18:00;72.41
17.08.24 19:00;77.19
17.08.24 20:00;73.65
17.08.24 21:00;77.1
17.08.24 22:00;70.99
17.08.24 23:00;70.36
18.08.24 00:00;76.1
18.08.24 01:00;73.4
18.08.24 02:00;66.89
18.08.24 03:00;61.48
18.08.24 04:00;61.08
18.08.24 05:00;60.84
18.08.24 06:00;60.76
18.08.24 07:00;67.62
18.08.24 08:00;68.04
18.08.24 09:00;72.05
18.08.24 10:00;65.44
18.08.24 11:00;60.07
18.08.24 12:00;54.44
18.08.24 13:00;40.87
18.08.24 14:00;36.25
18.08.24 15:00;47.19
18.08.24 16:00;55.88
18.08.24 17:00;66.26
18.08.24 18:00;74.32
18.08.24 19:00;76.24
18.08.24 20:00;85.28
18.08.24 21:00;81.44
18.08.24 22:00;74.35
18.08.24 23:00;74.35
19.08.24 00:00;89.01
19.08.24 01:00;78.49
19.08.24 02:00;74.35
19.08.24 03:00;75.78
19.08.24 04:00;75.79
19.08.24 05:00;76.63
19.08.24 06:00;93.53
19.08.24 07:00;128.85
19.08.24 08:00;131.41
19.08.24 09:00;110.34
19.08.24 10:00;83.37
19.08.24 11:00;87.69
19.08.24 12:00;75.7
19.08.24 13:00;71.81
19.08.24 14:00;72.8
19.08.24 15:00;76.41
19.08.24 16:00;86.67
19.08.24 17:00;80.76
19.08.24 18:00;124.44
19.08.24 19:00;123.87
19.08.24 20:00;130.66
19.08.24 21:00;113.54
19.08.24 22:00;105.41
19.08.24 23:00;88.71
20.08.24 00:00;72.56
20.08.24 01:00;70.35
20.08.24 02:00;68.7
20.08.24 03:00;67.03
20.08.24 04:00;68.69
20.08.24 05:00;70.32
20.08.24 06:00;77.1
20.08.24 07:00;79.61
20.08.24 08:00;80.13
20.08.24 09:00;78.8
20.08.24 10:00;75.86
20.08.24 11:00;54
20.08.24 12:00;32.5
20.08.24 13:00;23.88
20.08.24 14:00;29.4
20.08.24 15:00;48.69
20.08.24 16:00;70.9
20.08.24 17:00;94.46
20.08.24 18:00;103.08
20.08.24 19:00;88.98
20.08.24 20:00;111.09
20.08.24 21:00;103.09
20.08.24 22:00;100.03
20.08.24 23:00;82.01
21.08.24 00:00;89.46
21.08.24 01:00;83.91
21.08.24 02:00;74.67
21.08.24 03:00;68.04
21.08.24 04:00;63.62
21.08.24 05:00;70.2
21.08.24 06:00;87.3
21.08.24 07:00;92.19
21.08.24 08:00;85.61
21.08.24 09:00;67.47
21.08.24 10:00;61.67
21.08.24 11:00;56.31
21.08.24 12:00;49.34
21.08.24 13:00;37.98
21.08.24 14:00;22.39
21.08.24 15:00;40.81
21.08.24 16:00;52.09
21.08.24 17:00;52.02
21.08.24 18:00;72.35
21.08.24 19:00;95.97
21.08.24 20:00;97.1
21.08.24 21:00;93.9
21.08.24 22:00;92.62
21.08.24 23:00;88.1
22.08.24 00:00;77.67
22.08.24 01:00;74.86
22.08.24 02:00;72.53
22.08.24 03:00;72.16
22.08.24 04:00;71.43
22.08.24 05:00;81.55
22.08.24 06:00;97.07
22.08.24 07:00;96.43
22.08.24 08:00;97.2
22.08.24 09:00;72.59
22.08.24 10:00;54.33
22.08.24 11:00;51.96
22.08.24 12:00;0.03
22.08.24 13:00;-4.93
22.08.24 14:00;-5.94
22.08.24 15:00;15.96
22.08.24 16:00;7.96
22.08.24 17:00;59.81
22.08.24 18:00;90.54
22.08.24 19:00;107.09
22.08.24 20:00;114.96
22.08.24 21:00;89.62
22.08.24 22:00;93.3
22.08.24 23:00;81.98
23.08.24 00:00;70.33
23.08.24 01:00;61.48
23.08.24 02:00;56.04
23.08.24 03:00;56.3
23.08.24 04:00;53.29
23.08.24 05:00;58.06
23.08.24 06:00;74.44
23.08.24 07:00;77.8
23.08.24 08:00;61.47
23.08.24 09:00;61.42
23.08.24 10:00;51.99
23.08.24 11:00;20.01
23.08.24 12:00;0.67
23.08.24 13:00;-0.07
23.08.24 14:00;0.98
23.08.24 15:00;35.05
23.08.24 16:00;56.41
23.08.24 17:00;56.42
23.08.24 18:00;59.74
23.08.24 19:00;90.93
23.08.24 20:00;99.24
23.08.24 21:00;95.81
23.08.24 22:00;98.04
23.08.24 23:00;95.44
24.08.24 00:00;97.44
24.08.24 01:00;95.84
24.08.24 02:00;93.34
24.08.24 03:00;92.07
24.08.24 04:00;90.15
24.08.24 05:00;90.07
24.08.24 06:00;90.3
24.08.24 07:00;81
24.08.24 08:00;60.63
24.08.24 09:00;16.43
24.08.24 10:00;0.02
24.08.24 11:00;-12.13
24.08.24 12:00;-24.4
24.08.24 13:00;-41.01
24.08.24 14:00;-43.78
24.08.24 15:00;-36.06
24.08.24 16:00;-12.1
24.08.24 17:00;0.09
24.08.24 18:00;58.2
24.08.24 19:00;80.15
24.08.24 20:00;77.18
24.08.24 21:00;72.58
24.08.24 22:00;68.32
24.08.24 23:00;52.7
25.08.24 00:00;17.46
25.08.24 01:00;5.06
25.08.24 02:00;6
25.08.24 03:00;0.96
25.08.24 04:00;0.75
25.08.24 05:00;6.25
25.08.24 06:00;8.27
25.08.24 07:00;7.71
25.08.24 08:00;14.11
25.08.24 09:00;0.7
25.08.24 10:00;-0.96
25.08.24 11:00;-10.36
25.08.24 12:00;-16.8
25.08.24 13:00;-24.08
25.08.24 14:00;-29.6
25.08.24 15:00;-18.42
25.08.24 16:00;-10.81
25.08.24 17:00;14.04
25.08.24 18:00;78.39
25.08.24 19:00;98.07
25.08.24 20:00;99.09
25.08.24 21:00;97.35
25.08.24 22:00;95.88
25.08.24 23:00;91.35
26.08.24 00:00;77.9
26.08.24 01:00;75.3
26.08.24 02:00;76.6
26.08.24 03:00;75.3
26.08.24 04:00;76.77
26.08.24 05:00;85.99
26.08.24 06:00;105.18
26.08.24 07:00;130.59
26.08.24 08:00;119.99
26.08.24 09:00;93.76
26.08.24 10:00;82.57
26.08.24 11:00;77.85
26.08.24 12:00;75.14
26.08.24 13:00;74.09
26.08.24 14:00;74.04
26.08.24 15:00;75.29
26.08.24 16:00;81.19
26.08.24 17:00;104.88
26.08.24 18:00;127.47
26.08.24 19:00;108.97
26.08.24 20:00;134.9
26.08.24 21:00;128.97
26.08.24 22:00;125.38
26.08.24 23:00;110.88
27.08.24 00:00;102.2
27.08.24 01:00;98.08
27.08.24 02:00;98.31
27.08.24 03:00;95.23
27.08.24 04:00;95.32
27.08.24 05:00;103.32
27.08.24 06:00;136.83
27.08.24 07:00;152.25
27.08.24 08:00;121.92
27.08.24 09:00;99.65
27.08.24 10:00;72.23
27.08.24 11:00;48.03
27.08.24 12:00;20.53
27.08.24 13:00;9.22
27.08.24 14:00;13.24
27.08.24 15:00;33.13
27.08.24 16:00;67.72
27.08.24 17:00;95.86
27.08.24 18:00;110.02
27.08.24 19:00;123.48
27.08.24 20:00;126.36
27.08.24 21:00;117.92
27.08.24 22:00;109.55
27.08.24 23:00;89.54
28.08.24 00:00;88.94
28.08.24 01:00;85.35
28.08.24 02:00;84.05
28.08.24 03:00;85.68
28.08.24 04:00;86.34
28.08.24 05:00;93.31
28.08.24 06:00;110.01
28.08.24 07:00;127.99
28.08.24 08:00;106.89
28.08.24 09:00;92.03
28.08.24 10:00;80.26
28.08.24 11:00;63.35
28.08.24 12:00;32.81
28.08.24 13:00;22.16
28.08.24 14:00;21.14
28.08.24 15:00;41.94
28.08.24 16:00;72.38
28.08.24 17:00;91
28.08.24 18:00;108.94
28.08.24 19:00;122.91
28.08.24 20:00;126.66
28.08.24 21:00;122.83
28.08.24 22:00;113.02
28.08.24 23:00;102.62
29.08.24 00:00;95.24
29.08.24 01:00;90.98
29.08.24 02:00;88.86
29.08.24 03:00;88.36
29.08.24 04:00;90.23
29.08.24 05:00;100.49
29.08.24 06:00;117.89
29.08.24 07:00;132.59
29.08.24 08:00;125.42
29.08.24 09:00;105.03
29.08.24 10:00;94.08
29.08.24 11:00;82.08
29.08.24 12:00;58.1
29.08.24 13:00;45.84
29.08.24 14:00;46.6
29.08.24 15:00;72.53
29.08.24 16:00;83.7
29.08.24 17:00;104.56
29.08.24 18:00;123.08
29.08.24 19:00;126.34
29.08.24 20:00;146.5
29.08.24 21:00;134.66
29.08.24 22:00;122.57
29.08.24 23:00;112.38
30.08.24 00:00;105.2
30.08.24 01:00;102.63
30.08.24 02:00;99.51
30.08.24 03:00;99.91
30.08.24 04:00;100.33
30.08.24 05:00;107
30.08.24 06:00;112.85
30.08.24 07:00;125.26
30.08.24 08:00;125.48
30.08.24 09:00;114.88
30.08.24 10:00;101.97
30.08.24 11:00;90.06
30.08.24 12:00;84.07
30.08.24 13:00;76.24
30.08.24 14:00;76.66
30.08.24 15:00;86.17
30.08.24 16:00;93.93
30.08.24 17:00;108.12
30.08.24 18:00;115.67
30.08.24 19:00;113.09
30.08.24 20:00;113.78
30.08.24 21:00;112.95
30.08.24 22:00;105.6
30.08.24 23:00;99.84
31.08.24 00:00;100.12
31.08.24 01:00;99.62
31.08.24 02:00;98.76
31.08.24 03:00;98.77
31.08.24 04:00;97.67
31.08.24 05:00;98.79
31.08.24 06:00;97.53
31.08.24 07:00;99.13
31.08.24 08:00;93.55
31.08.24 09:00;79.23
31.08.24 10:00;55.41
31.08.24 11:00;31.56
31.08.24 12:00;13.07
31.08.24 13:00;1.19
31.08.24 14:00;2.12
31.08.24 15:00;12.94
31.08.24 16:00;30.64
31.08.24 17:00;75.39
31.08.24 18:00;106.39
31.08.24 19:00;115.81
31.08.24 20:00;119.24
31.08.24 21:00;107.61
31.08.24 22:00;102.6
31.08.24 23:00;89.35